zip_code,arrest_count,lat,lon,borough,crime_per_10k,murder,rape,robbery,fel_assault,burglary,gr_larceny,gla,total,borough_display
10001,332,40.749813815973425,-74.00044540343829,manhattan,175.6,47.0,383.0,3259.0,5239.0,3337.0,16299.0,1185.0,29749.0,Manhattan
10002,2441,40.72372257413236,-73.97915860597071,manhattan,175.6,47.0,383.0,3259.0,5239.0,3337.0,16299.0,1185.0,29749.0,Manhattan
10003,2070,40.73286037224812,-73.9889377112639,manhattan,175.6,47.0,383.0,3259.0,5239.0,3337.0,16299.0,1185.0,29749.0,Manhattan
10004,81,40.702366561282375,-74.01263977956707,manhattan,175.6,47.0,383.0,3259.0,5239.0,3337.0,16299.0,1185.0,29749.0,Manhattan
10004,81,40.69874686569332,-74.0406166464777,manhattan,175.6,47.0,383.0,3259.0,5239.0,3337.0,16299.0,1185.0,29749.0,Manhattan
10004,81,40.689701543399096,-74.01673509118059,manhattan,175.6,47.0,383.0,3259.0,5239.0,3337.0,16299.0,1185.0,29749.0,Manhattan
10004,81,40.68988489390824,-74.04557612006394,manhattan,175.6,47.0,383.0,3259.0,5239.0,3337.0,16299.0,1185.0,29749.0,Manhattan
10005,6,40.70549440398773,-74.0085718224297,manhattan,175.6,47.0,383.0,3259.0,5239.0,3337.0,16299.0,1185.0,29749.0,Manhattan
10006,30,40.70804455906762,-74.0135158418697,manhattan,175.6,47.0,383.0,3259.0,5239.0,3337.0,16299.0,1185.0,29749.0,Manhattan
10007,483,40.71350497293453,-74.00821555994035,manhattan,175.6,47.0,383.0,3259.0,5239.0,3337.0,16299.0,1185.0,29749.0,Manhattan
10009,233,40.72735532516567,-73.97554460187719,manhattan,175.6,47.0,383.0,3259.0,5239.0,3337.0,16299.0,1185.0,29749.0,Manhattan
10010,472,40.738858506885265,-73.97742472650863,manhattan,175.6,47.0,383.0,3259.0,5239.0,3337.0,16299.0,1185.0,29749.0,Manhattan
10011,1797,40.74293318605735,-74.00272980234686,manhattan,175.6,47.0,383.0,3259.0,5239.0,3337.0,16299.0,1185.0,29749.0,Manhattan
10012,2247,40.72688113676271,-73.99955853513266,manhattan,175.6,47.0,383.0,3259.0,5239.0,3337.0,16299.0,1185.0,29749.0,Manhattan
10013,2752,40.721409437346225,-74.00370662237775,manhattan,175.6,47.0,383.0,3259.0,5239.0,3337.0,16299.0,1185.0,29749.0,Manhattan
10014,1345,40.733017820971654,-74.00768992762666,manhattan,175.6,47.0,383.0,3259.0,5239.0,3337.0,16299.0,1185.0,29749.0,Manhattan
10016,146,40.745042154930125,-73.97608884361772,manhattan,175.6,47.0,383.0,3259.0,5239.0,3337.0,16299.0,1185.0,29749.0,Manhattan
10017,78,40.750843906388965,-73.96954646454908,manhattan,175.6,47.0,383.0,3259.0,5239.0,3337.0,16299.0,1185.0,29749.0,Manhattan
10018,4034,40.75583507747319,-73.99442798468357,manhattan,175.6,47.0,383.0,3259.0,5239.0,3337.0,16299.0,1185.0,29749.0,Manhattan
10019,526,40.766868496753986,-73.99162298264433,manhattan,175.6,47.0,383.0,3259.0,5239.0,3337.0,16299.0,1185.0,29749.0,Manhattan
10021,168,40.76857142206866,-73.95443061547533,manhattan,175.6,47.0,383.0,3259.0,5239.0,3337.0,16299.0,1185.0,29749.0,Manhattan
10022,156,40.75779579564197,-73.96436379408493,manhattan,175.6,47.0,383.0,3259.0,5239.0,3337.0,16299.0,1185.0,29749.0,Manhattan
10023,437,40.776785669809165,-73.98439586340682,manhattan,175.6,47.0,383.0,3259.0,5239.0,3337.0,16299.0,1185.0,29749.0,Manhattan
10024,593,40.79650510140495,-73.97380825373776,manhattan,175.6,47.0,383.0,3259.0,5239.0,3337.0,16299.0,1185.0,29749.0,Manhattan
10025,1398,40.80078196046591,-73.96834192622485,manhattan,175.6,47.0,383.0,3259.0,5239.0,3337.0,16299.0,1185.0,29749.0,Manhattan
10026,3283,40.80654401082997,-73.95492589244118,manhattan,175.6,47.0,383.0,3259.0,5239.0,3337.0,16299.0,1185.0,29749.0,Manhattan
10027,1183,40.814264874786055,-73.95710852213577,manhattan,175.6,47.0,383.0,3259.0,5239.0,3337.0,16299.0,1185.0,29749.0,Manhattan
10028,359,40.77521263839082,-73.94763232098582,manhattan,175.6,47.0,383.0,3259.0,5239.0,3337.0,16299.0,1185.0,29749.0,Manhattan
10029,2797,40.78994763987603,-73.94108256485443,manhattan,175.6,47.0,383.0,3259.0,5239.0,3337.0,16299.0,1185.0,29749.0,Manhattan
10030,2605,40.81868217564572,-73.94154024368116,manhattan,175.6,47.0,383.0,3259.0,5239.0,3337.0,16299.0,1185.0,29749.0,Manhattan
10031,746,40.82589725704791,-73.95106326801265,manhattan,175.6,47.0,383.0,3259.0,5239.0,3337.0,16299.0,1185.0,29749.0,Manhattan
