zip_code,lat,lon,nearest_subway_dist_miles,nearest_subway
11372,40.750873755682136,-73.88550252312545,0.25440860352041755,82 St-Jackson Hts
11004,40.74990950312809,-73.7141320158295,5.452556943541827,Jamaica-179 St
11040,40.746799893373094,-73.7038847298374,5.997706177087336,Jamaica-179 St
11426,40.73754261889471,-73.72637724662607,4.31962424420442,Jamaica-179 St
11365,40.74143456453013,-73.80080117764575,2.1935094819085696,169 St
11373,40.734782119057385,-73.87874034073344,0.18627546767413922,Grand Av-Newtown
11001,40.733849784673225,-73.70584870079789,5.575206902104421,Jamaica-179 St
11375,40.72204865547558,-73.84520540147405,0.05328313927706488,Forest Hills-71 Av
11427,40.729645773797245,-73.74322784926277,3.036369650271331,Jamaica-179 St
11374,40.72691129192627,-73.86159639794491,0.20249553647170346,63 Dr-Rego Park
11366,40.72940387743514,-73.78883786889223,1.2070772133819259,Jamaica-179 St
11423,40.71674382943792,-73.7710369569397,0.9260450559880602,Jamaica-179 St
11428,40.72285692777179,-73.73596901938791,3.37585085788234,Jamaica-179 St
11432,40.71471873038493,-73.79687477269295,0.3699691200536621,169 St
11379,40.71939147707442,-73.87656022021652,1.0554735632846037,Middle Village-Metropolitan Av
11429,40.710892020916404,-73.73479880815354,3.3844198076329346,Jamaica-179 St
11435,40.70533206289682,-73.81084891057472,0.013132440736194925,Sutphin Blvd
11415,40.708783041154284,-73.83007058889118,0.3957210931690463,Kew Gardens-Union Tpke
11418,40.702738895829796,-73.83048839917568,0.21670755437368958,121 St
11433,40.69935461415957,-73.78795272139489,0.8603963909053138,169 St
11451,40.70088564811545,-73.79966439982044,0.13232678630572442,Jamaica Center-Parsons/Archer
11221,40.69421942726345,-73.92721358074951,0.12593625462564612,Kosciuszko St
11421,40.69551923972539,-73.85589284758026,0.318639276057453,Woodhaven Blvd
11419,40.689144843257445,-73.82632454838321,0.22335000457593088,Ozone Park-Lefferts Blvd
11434,40.67586854759372,-73.7741392970285,2.5982159942391476,Jamaica Center-Parsons/Archer
11216,40.68135778904252,-73.94779251378817,0.19247489719937566,Nostrand Av
11416,40.684859804553646,-73.84930248022665,0.3770865460095279,88 St
11233,40.67752765417162,-73.92157644939363,0.10464689699062671,Ralph Av
11436,40.67501525463899,-73.79656839181513,1.8981255751076547,Jamaica Center-Parsons/Archer
11213,40.672016226719826,-73.93498654212117,0.257340657741369,Crown Hts-Utica Av
11212,40.66381707598695,-73.90531544005113,0.1990168404116475,Junius St
11225,40.662768257949125,-73.95565611092191,0.3316266029101849,Sterling St
11218,40.64813329787398,-73.97525023144934,0.18632626314227313,Fort Hamilton Pkwy
11226,40.64650770568084,-73.9616159468426,0.26188888684141604,Beverley Rd
11219,40.63614925794465,-73.99929190499343,0.3106564339067339,50 St
11210,40.62578636729269,-73.94370340414828,0.557193087495163,Flatbush Av-Brooklyn College
